time,count,activity
2026-04-07 18:14:24.265156,1,Low Activity
2026-04-07 18:16:26.815706,1,Low Activity
2026-04-07 18:25:17.247562,1,Low
2026-05-02 12:36:26.631867,1,Low
2026-05-02 12:36:27.086567,1,Low
2026-05-02 12:36:27.206268,1,Low
2026-05-02 12:36:27.331986,1,Low
2026-05-02 12:36:27.456880,0,Low
2026-05-02 12:36:27.577996,1,Low
2026-05-02 12:36:27.695299,1,Low
2026-05-02 12:36:27.811819,0,Low
2026-05-02 12:36:27.933929,0,Low
2026-05-02 12:36:28.041300,0,Low
2026-05-02 12:36:28.143420,0,Low
2026-05-02 12:36:28.255198,0,Low
2026-05-02 12:36:28.352745,0,Low
2026-05-02 12:36:28.462849,0,Low
2026-05-02 12:36:28.592669,0,Low
2026-05-02 12:36:28.713138,0,Low
2026-05-02 12:36:28.813510,0,Low
2026-05-02 12:36:28.925181,0,Low
2026-05-02 12:36:29.024972,0,Low
2026-05-02 12:36:29.112405,0,Low
2026-05-02 12:36:29.198495,0,Low
2026-05-02 12:36:29.312380,0,Low
2026-05-02 12:36:29.419364,0,Low
2026-05-02 12:36:29.516181,0,Low
2026-05-02 12:36:29.605894,0,Low
2026-05-02 12:36:29.698655,0,Low
2026-05-02 12:36:29.832626,0,Low
2026-05-02 12:36:29.951077,0,Low
2026-05-02 12:36:30.044111,0,Low
2026-05-02 12:36:30.136924,0,Low
2026-05-02 12:36:30.248205,0,Low
2026-05-02 12:36:30.336247,0,Low
2026-05-02 12:36:30.444184,0,Low
2026-05-02 12:36:30.549306,0,Low
2026-05-02 12:36:30.664208,0,Low
2026-05-02 12:36:30.778399,0,Low
2026-05-02 12:36:30.885456,0,Low
2026-05-02 12:36:30.988183,0,Low
2026-05-02 12:36:31.105042,0,Low
2026-05-02 12:36:31.209001,0,Low
2026-05-02 12:36:31.310502,1,Low
2026-05-02 12:36:31.420693,1,Low
2026-05-02 12:36:31.527723,1,Low
2026-05-02 12:36:31.617734,1,Low
2026-05-02 12:36:31.711238,0,Low
2026-05-02 12:36:31.813410,0,Low
2026-05-02 12:36:31.923834,1,Low
2026-05-02 12:36:32.024005,1,Low
2026-05-02 12:36:32.121493,0,Low
2026-05-02 12:36:32.230088,0,Low
2026-05-02 12:36:32.345264,0,Low
2026-05-02 12:36:32.452970,1,Low
2026-05-02 12:36:32.559980,0,Low
2026-05-02 12:36:32.673999,0,Low
2026-05-02 12:36:32.826354,0,Low
2026-05-02 12:36:33.066938,0,Low
2026-05-02 12:36:33.208409,0,Low
2026-05-02 12:36:33.364084,0,Low
2026-05-02 12:36:33.469662,0,Low
2026-05-02 12:36:33.601642,0,Low
2026-05-02 12:36:33.721059,0,Low
2026-05-02 12:36:33.847737,0,Low
2026-05-02 12:36:33.987821,1,Low
2026-05-02 12:36:34.104200,0,Low
2026-05-02 12:36:34.215719,0,Low
2026-05-02 12:36:34.330802,0,Low
2026-05-02 12:36:34.436916,0,Low
2026-05-02 12:36:34.524469,0,Low
2026-05-02 12:36:34.626031,0,Low
2026-05-02 12:36:34.731969,0,Low
2026-05-02 12:36:34.820218,0,Low
2026-05-02 12:36:34.910573,0,Low
2026-05-02 12:36:34.991368,0,Low
2026-05-02 12:36:35.089534,0,Low
2026-05-02 12:36:35.187161,0,Low
2026-05-02 12:36:35.310853,0,Low
2026-05-02 12:36:35.404283,0,Low
2026-05-02 12:36:35.518139,0,Low
2026-05-02 12:36:35.611768,0,Low
2026-05-02 12:36:35.702444,0,Low
2026-05-02 12:36:35.782005,0,Low
2026-05-02 12:36:35.876539,0,Low
2026-05-02 12:36:35.973649,0,Low
2026-05-02 12:36:36.070896,0,Low
2026-05-02 12:36:36.152242,0,Low
2026-05-02 12:36:36.256420,0,Low
2026-05-02 12:36:36.363369,0,Low
2026-05-02 12:36:36.473141,0,Low
2026-05-02 12:36:36.583581,0,Low
2026-05-02 12:36:36.673295,0,Low
2026-05-02 12:36:36.765911,0,Low
2026-05-02 12:36:36.858868,0,Low
2026-05-02 12:36:36.937339,0,Low
2026-05-02 12:36:37.041555,0,Low
2026-05-02 12:36:37.143376,0,Low
2026-05-02 12:36:37.226276,0,Low
2026-05-02 12:36:37.335322,0,Low
2026-05-02 12:36:37.435677,0,Low
2026-05-02 12:36:37.534349,0,Low
2026-05-02 12:36:37.629690,0,Low
2026-05-02 12:36:37.726322,0,Low
2026-05-02 12:36:37.844661,0,Low
2026-05-02 12:36:37.940644,0,Low
2026-05-02 12:36:38.013208,0,Low
2026-05-02 12:36:38.115217,0,Low
2026-05-02 12:36:38.217861,0,Low
2026-05-02 12:36:38.340813,1,Low
2026-05-02 12:36:38.441926,1,Low
2026-05-02 12:36:38.534091,1,Low
2026-05-02 12:36:38.646899,1,Low
2026-05-02 12:36:38.741035,1,Low
2026-05-02 12:36:38.834572,1,Low
2026-05-02 12:36:38.948,1,Low
2026-05-02 12:36:39.039206,1,Low
2026-05-02 12:36:39.150905,1,Low
2026-05-02 12:36:39.249431,1,Low
2026-05-02 12:36:39.354856,1,Low
2026-05-02 12:36:39.450673,0,Low
2026-05-02 12:36:39.589003,1,Low
2026-05-02 12:36:39.732104,0,Low
2026-05-02 12:36:39.829345,0,Low
2026-05-02 12:36:39.916664,0,Low
2026-05-02 12:36:40.017023,0,Low
2026-05-02 12:36:40.122364,0,Low
2026-05-02 12:36:40.279301,0,Low
2026-05-02 12:36:40.411964,0,Low
2026-05-02 12:36:40.547046,0,Low
2026-05-02 12:36:40.671236,0,Low
2026-05-02 12:36:40.806467,0,Low
2026-05-02 12:36:40.980420,0,Low
2026-05-02 12:36:41.127973,0,Low
2026-05-02 12:36:41.255745,0,Low
2026-05-02 12:36:41.462959,0,Low
2026-05-02 12:36:41.557916,0,Low
2026-05-02 12:36:41.660343,0,Low
2026-05-02 12:36:41.764576,0,Low
2026-05-02 12:36:41.868631,0,Low
2026-05-02 12:36:41.979237,0,Low
2026-05-02 12:36:42.094333,0,Low
2026-05-02 12:36:42.185583,0,Low
2026-05-02 12:36:42.278398,0,Low
2026-05-02 12:36:42.368967,0,Low
2026-05-02 12:36:42.480285,0,Low
2026-05-02 12:36:42.561371,0,Low
2026-05-02 12:36:42.668097,0,Low
2026-05-02 12:36:42.771878,0,Low
2026-05-02 12:36:42.880167,1,Low
2026-05-02 12:36:42.990812,0,Low
2026-05-02 12:36:43.098444,0,Low
2026-05-02 12:36:43.215772,0,Low
2026-05-02 12:36:43.333132,1,Low
2026-05-02 12:36:43.443429,0,Low
2026-05-02 12:36:43.546033,0,Low
2026-05-02 12:36:43.663118,0,Low
2026-05-02 12:36:43.778079,0,Low
2026-05-02 12:36:43.886529,0,Low
2026-05-02 12:36:43.993314,0,Low
2026-05-02 12:36:44.101222,0,Low
2026-05-02 12:36:44.207160,0,Low
2026-05-02 12:36:44.328325,1,Low
2026-05-02 12:36:44.429413,0,Low
2026-05-02 12:36:44.562851,0,Low
2026-05-02 12:36:44.668251,1,Low
2026-05-02 12:36:44.797840,0,Low
2026-05-02 12:36:44.935634,0,Low
2026-05-02 12:36:45.065180,1,Low
2026-05-02 12:36:45.186903,1,Low
2026-05-02 12:36:45.324395,0,Low
2026-05-02 12:36:45.442503,1,Low
2026-05-02 12:36:45.575620,1,Low
2026-05-02 12:36:45.709627,1,Low
2026-05-02 12:36:45.826740,1,Low
2026-05-02 12:36:45.951332,1,Low
2026-05-02 12:36:46.087968,1,Low
2026-05-02 12:36:46.216423,1,Low
2026-05-02 12:36:46.365068,1,Low
2026-05-02 12:36:46.510078,1,Low
2026-05-02 12:36:46.625646,1,Low
2026-05-02 12:36:46.726861,0,Low
2026-05-02 12:36:46.846408,0,Low
2026-05-02 12:36:47.070435,0,Low
2026-05-02 12:36:47.208688,0,Low
2026-05-02 12:36:47.338695,0,Low
2026-05-02 12:36:47.486268,0,Low
2026-05-02 12:36:47.601348,0,Low
2026-05-02 12:36:47.719364,0,Low
2026-05-02 12:36:47.853820,0,Low
2026-05-02 12:36:47.982732,0,Low
2026-05-02 12:36:48.108122,0,Low
2026-05-02 12:36:48.218867,0,Low
2026-05-02 12:36:48.335522,0,Low
2026-05-02 12:36:48.477089,0,Low
2026-05-02 12:36:48.604493,0,Low
